"","organizace","ženy","muži","celkem","ženy_pct"
"1","Ministerstvo dopravy",5,22,27,18.5185185185185
"2","Ministerstvo financí",19,29,48,39.5833333333333
"3","Ministerstvo kultury",7,19,26,26.9230769230769
"4","Ministerstvo obrany",14,93,107,13.0841121495327
"5","Ministerstvo práce a sociálních věcí",20,14,34,58.8235294117647
"6","Ministerstvo pro místní rozvoj",15,17,32,46.875
"7","Ministerstvo průmyslu a obchodu",11,42,53,20.7547169811321
"8","Ministerstvo spravedlnosti",7,20,27,25.9259259259259
"9","Ministerstvo školství, mládeže a tělovýchovy",13,22,35,37.1428571428571
"10","Ministerstvo vnitra",31,97,128,24.21875
"11","Ministerstvo zahraničních věcí",34,119,153,22.2222222222222
"12","Ministerstvo zdravotnictví",10,13,23,43.4782608695652
"13","Ministerstvo zemědělství",7,31,38,18.4210526315789
"14","Ministerstvo životního prostředí",6,29,35,17.1428571428571
"15","Úřad vlády",8,19,27,29.6296296296296
